subjectID	 order	 itemIndABC	 runtrial	 isOld?	 subjectAnswer	 onsettime	 Name	 resp_choice	 RT	 bidInd	 isBeep?
BMI_bfr_111	 1	 24	 1	 1	 1	 1.349152e-02	 127.jpg	 u	 5.131502e+00	 25	 1	 
BMI_bfr_111	 1	 86	 2	 0	 0	 6.203617e+00	 238.jpg	 i	 2.834055e+00	 0	 0	 
BMI_bfr_111	 1	 77	 3	 0	 0	 1.009138e+01	 229.jpg	 i	 2.400191e+00	 0	 0	 
BMI_bfr_111	 1	 74	 4	 0	 0	 1.354528e+01	 226.jpg	 i	 1.635161e+00	 0	 0	 
BMI_bfr_111	 1	 93	 5	 0	 1	 1.623153e+01	 245.jpg	 u	 1.379048e+00	 0	 0	 
BMI_bfr_111	 1	 50	 6	 0	 0	 1.866764e+01	 202.jpg	 i	 9.455163e-01	 0	 0	 
BMI_bfr_111	 1	 62	 7	 0	 0	 2.066993e+01	 214.jpg	 i	 1.587090e+00	 0	 0	 
BMI_bfr_111	 1	 81	 8	 0	 1	 2.330624e+01	 233.jpg	 u	 8.408748e-01	 0	 0	 
BMI_bfr_111	 1	 90	 9	 0	 1	 2.519167e+01	 242.jpg	 u	 1.329314e+00	 0	 0	 
BMI_bfr_111	 1	 65	 10	 0	 1	 2.757771e+01	 217.jpg	 u	 1.182216e+00	 0	 0	 
BMI_bfr_111	 1	 67	 11	 0	 0	 2.981346e+01	 219.jpg	 i	 6.902040e-01	 0	 0	 
BMI_bfr_111	 1	 73	 12	 0	 1	 3.154888e+01	 225.jpg	 u	 1.429910e+00	 0	 0	 
BMI_bfr_111	 1	 70	 13	 0	 1	 3.403482e+01	 222.jpg	 u	 1.126607e+00	 0	 0	 
BMI_bfr_111	 1	 13	 14	 1	 1	 3.620413e+01	 115.jpg	 u	 1.094825e+00	 48	 0	 
BMI_bfr_111	 1	 52	 15	 0	 1	 3.835643e+01	 204.jpg	 u	 1.440166e+00	 0	 0	 
BMI_bfr_111	 1	 11	 16	 1	 1	 4.084250e+01	 113.jpg	 u	 1.012941e+00	 15	 1	 
BMI_bfr_111	 1	 21	 17	 1	 1	 4.291152e+01	 124.jpg	 u	 6.877605e-01	 16	 0	 
BMI_bfr_111	 1	 42	 18	 1	 1	 4.464682e+01	 152.jpg	 u	 6.287784e-01	 4	 1	 
BMI_bfr_111	 1	 12	 19	 1	 1	 4.633205e+01	 114.jpg	 u	 1.711165e+00	 22	 0	 
BMI_bfr_111	 1	 7	 20	 1	 1	 4.908509e+01	 108.jpg	 u	 7.919644e-01	 3	 0	 
BMI_bfr_111	 1	 45	 21	 1	 1	 5.092050e+01	 156.jpg	 u	 5.653961e-01	 37	 1	 
BMI_bfr_111	 1	 56	 22	 0	 0	 5.253895e+01	 208.jpg	 i	 9.832570e-01	 0	 0	 
BMI_bfr_111	 1	 1	 23	 1	 0	 5.457461e+01	 101.jpg	 i	 7.814455e-01	 11	 0	 
BMI_bfr_111	 1	 55	 24	 0	 0	 5.640989e+01	 207.jpg	 i	 6.787364e-01	 0	 0	 
BMI_bfr_111	 1	 88	 25	 0	 0	 5.814527e+01	 240.jpg	 i	 1.249715e+00	 0	 0	 
BMI_bfr_111	 1	 54	 26	 0	 0	 6.044779e+01	 206.jpg	 i	 6.911010e-01	 0	 0	 
BMI_bfr_111	 1	 5	 27	 1	 1	 6.218305e+01	 106.jpg	 u	 8.346171e-01	 20	 1	 
BMI_bfr_111	 1	 30	 28	 1	 1	 6.406855e+01	 137.jpg	 u	 7.941801e-01	 24	 1	 
BMI_bfr_111	 1	 34	 29	 1	 0	 6.590393e+01	 141.jpg	 i	 1.332659e+00	 54	 0	 
BMI_bfr_111	 1	 82	 30	 0	 0	 6.829002e+01	 234.jpg	 i	 1.376718e+00	 0	 0	 
BMI_bfr_111	 1	 68	 31	 0	 0	 7.070933e+01	 220.jpg	 i	 9.262692e-01	 0	 0	 
BMI_bfr_111	 1	 83	 32	 0	 0	 7.267824e+01	 235.jpg	 i	 7.799107e-01	 0	 0	 
BMI_bfr_111	 1	 14	 33	 1	 1	 7.451366e+01	 116.jpg	 u	 8.120606e-01	 17	 0	 
BMI_bfr_111	 1	 59	 34	 0	 0	 7.638240e+01	 211.jpg	 i	 8.334916e-01	 0	 0	 
BMI_bfr_111	 1	 58	 35	 0	 0	 7.826776e+01	 210.jpg	 i	 1.603162e+00	 0	 0	 
BMI_bfr_111	 1	 35	 36	 1	 1	 8.092075e+01	 142.jpg	 u	 1.200304e+00	 52	 1	 
BMI_bfr_111	 1	 10	 37	 1	 1	 8.317338e+01	 112.jpg	 u	 7.477441e-01	 23	 0	 
BMI_bfr_111	 1	 22	 38	 1	 0	 8.497526e+01	 125.jpg	 i	 1.792246e+00	 57	 1	 
BMI_bfr_111	 1	 43	 39	 1	 1	 8.781182e+01	 153.jpg	 u	 8.120742e-01	 42	 1	 
BMI_bfr_111	 1	 28	 40	 1	 0	 8.968060e+01	 135.jpg	 i	 1.935872e+00	 55	 0	 
BMI_bfr_111	 1	 15	 41	 1	 1	 9.266736e+01	 117.jpg	 u	 6.592112e-01	 7	 1	 
BMI_bfr_111	 1	 92	 42	 0	 0	 9.436921e+01	 244.jpg	 i	 7.686833e-01	 0	 0	 
BMI_bfr_111	 1	 39	 43	 1	 1	 9.618795e+01	 148.jpg	 u	 6.487868e-01	 41	 0	 
BMI_bfr_111	 1	 57	 44	 0	 0	 9.788973e+01	 209.jpg	 i	 6.345826e-01	 0	 0	 
BMI_bfr_111	 1	 6	 45	 1	 0	 9.957503e+01	 107.jpg	 i	 6.368753e-01	 21	 1	 
BMI_bfr_111	 1	 41	 46	 1	 0	 1.012603e+02	 151.jpg	 i	 2.574278e+00	 47	 1	 
BMI_bfr_111	 1	 49	 47	 0	 0	 1.048810e+02	 201.jpg	 i	 7.536892e-01	 0	 0	 
BMI_bfr_111	 1	 36	 48	 1	 1	 1.066830e+02	 143.jpg	 u	 1.404223e+00	 10	 1	 
BMI_bfr_111	 1	 51	 49	 0	 0	 1.091358e+02	 203.jpg	 i	 6.052471e-01	 0	 0	 
BMI_bfr_111	 1	 27	 50	 1	 1	 1.107875e+02	 132.jpg	 u	 7.086193e-01	 46	 0	 
BMI_bfr_111	 1	 71	 51	 0	 0	 1.125396e+02	 223.jpg	 i	 8.241592e-01	 0	 0	 
BMI_bfr_111	 1	 61	 52	 0	 0	 1.144083e+02	 213.jpg	 i	 6.992709e-01	 0	 0	 
BMI_bfr_111	 1	 60	 53	 0	 0	 1.161603e+02	 212.jpg	 i	 6.685558e-01	 0	 0	 
BMI_bfr_111	 1	 32	 54	 1	 0	 1.178789e+02	 139.jpg	 i	 7.950844e-01	 36	 1	 
BMI_bfr_111	 1	 8	 55	 1	 1	 1.197311e+02	 110.jpg	 u	 8.779826e-01	 35	 0	 
BMI_bfr_111	 1	 53	 56	 0	 0	 1.216665e+02	 205.jpg	 i	 7.989051e-01	 0	 0	 
BMI_bfr_111	 1	 29	 57	 1	 0	 1.235185e+02	 136.jpg	 i	 1.107023e+00	 38	 0	 
BMI_bfr_111	 1	 40	 58	 1	 1	 1.256710e+02	 150.jpg	 u	 7.658569e-01	 56	 1	 
BMI_bfr_111	 1	 44	 59	 1	 1	 1.274897e+02	 154.jpg	 u	 7.472568e-01	 49	 0	 
BMI_bfr_111	 1	 31	 60	 1	 1	 1.292918e+02	 138.jpg	 u	 1.094000e+00	 45	 1	 
BMI_bfr_111	 1	 64	 61	 0	 0	 1.314442e+02	 216.jpg	 i	 5.841825e-01	 0	 0	 
BMI_bfr_111	 1	 19	 62	 1	 1	 1.330793e+02	 122.jpg	 u	 6.816357e-01	 9	 0	 
BMI_bfr_111	 1	 75	 63	 0	 0	 1.348146e+02	 227.jpg	 i	 8.139417e-01	 0	 0	 
BMI_bfr_111	 1	 25	 64	 1	 1	 1.366832e+02	 130.jpg	 u	 8.578384e-01	 8	 0	 
BMI_bfr_111	 1	 96	 65	 0	 0	 1.385855e+02	 248.jpg	 i	 6.994547e-01	 0	 0	 
BMI_bfr_111	 1	 87	 66	 0	 0	 1.403373e+02	 239.jpg	 i	 1.411467e+00	 0	 0	 
BMI_bfr_111	 1	 18	 67	 1	 1	 1.427901e+02	 120.jpg	 u	 7.812592e-01	 19	 0	 
BMI_bfr_111	 1	 38	 68	 1	 1	 1.446255e+02	 147.jpg	 u	 6.559251e-01	 13	 1	 
BMI_bfr_111	 1	 91	 69	 0	 0	 1.463274e+02	 243.jpg	 i	 6.528805e-01	 0	 0	 
BMI_bfr_111	 1	 79	 70	 0	 0	 1.480293e+02	 231.jpg	 i	 1.066036e+00	 0	 0	 
BMI_bfr_111	 1	 2	 71	 1	 1	 1.501651e+02	 102.jpg	 u	 1.214110e+00	 18	 1	 
BMI_bfr_111	 1	 84	 72	 0	 1	 1.524343e+02	 236.jpg	 u	 9.701199e-01	 0	 0	 
BMI_bfr_111	 1	 48	 73	 1	 1	 1.544532e+02	 159.jpg	 u	 1.032453e+00	 43	 0	 
BMI_bfr_111	 1	 26	 74	 1	 1	 1.565389e+02	 131.jpg	 u	 8.481663e-01	 58	 0	 
BMI_bfr_111	 1	 66	 75	 0	 1	 1.584411e+02	 218.jpg	 u	 8.922844e-01	 0	 0	 
BMI_bfr_111	 1	 33	 76	 1	 1	 1.603764e+02	 140.jpg	 u	 6.220240e-01	 53	 1	 
